Nome,LatitudineG,LongitudineG,Cluster,Centro
Casa Vasari,43.771181,11.268659,0,Centro
Collezione Contini Bonacossi,43.768920,11.255877,0,Centro
Corridoio Vasariano,43.768963,11.255890,0,Centro
Fondazione Museo del Calcio,43.777801,11.303166,-1,Fuori dal centro
Fondazione Roberto Capucci,43.762998,11.255024,0,Centro
Fondazione Salvatore Romano nel Cenacolo di Santo Spirito,43.766922,11.247755,0,Centro
Fondazione Scienza e Tecnica,43.776772,11.264838,0,Centro
Gabinetto Disegni e Stampe degli Uffizi,43.768978,11.256422,0,Centro
Galleria d'Arte Moderna - Palazzo Pitti,43.765329,11.250021,0,Centro
Galleria degli Uffizi,43.769021,11.255824,0,Centro
Galleria del Costume - Palazzo Pitti,43.765282,11.250064,0,Centro
Galleria dell'Accademia,43.775432,11.257617,0,Centro
Galleria Palatina e Appartamenti Reali,43.765344,11.250150,0,Centro
Gucci Museo,43.769720,11.256646,0,Centro
Il Giardino di Archimede.  Un Museo per la Matematica,43.774572,11.196892,-1,Fuori dal centro
Mus.e,43.769389,11.256136,0,Centro
Museo Archeologico Nazionale,43.776594,11.261544,0,Centro
Museo degli Argenti,43.765344,11.249957,0,Centro
Museo degli Innocenti (MUDI),43.776454,11.260535,0,Centro
Museo del Bigallo,43.772759,11.255246,0,Centro
Museo del Ciclismo  Gino Bartali,43.729741,11.295769,-1,Fuori dal centro
Museo del Pegaso,43.776373,11.257019,0,Centro
Museo del Tesoro di San Lorenzo,43.774781,11.254860,0,Centro
Museo della Fondazione Horne,43.767436,11.259548,0,Centro
Museo della Misericordia,43.772612,11.255578,0,Centro
Museo delle Cappelle Medicee,43.774925,11.252765,0,Centro
Museo delle Carrozze,43.765422,11.249957,0,Centro
Museo delle Porcellane - Palazzo Pitti,43.766082,11.250496,0,Centro
Museo dell'Officina Profumo - Farmaceutica di Santa Maria Novella,43.775594,11.245505,0,Centro
Museo dell'Opera di Santa Croce,43.768568,11.262295,0,Centro
Museo dell'Opificio delle Pietre Dure,43.776113,11.258990,0,Centro
Museo di Casa Martelli,43.773772,11.253620,0,Centro
Museo di Palazzo Davanzati,43.770202,11.252757,0,Centro
Museo di San Marco,43.778232,11.258768,0,Centro
Museo di Simbologia Massonica,43.768682,11.242403,0,Centro
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Antropologia ed Etnologia,43.771295,11.258025,0,Centro
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Biomedica,43.803434,11.245677,-1,Fuori dal centro
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Botanica,43.778344,11.260042,0,Centro
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Geologia e Paleontologia,43.778375,11.259891,0,Centro
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Mineralogia e Litologia,43.778406,11.259977,0,Centro
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Zoologia La Specola,43.764669,11.247151,0,Centro
Museo Diocesano di S. Stefano al Ponte,43.768615,11.253849,0,Centro
Museo e Chiostri Monumentali di Santa Maria Novella,43.772953,11.249806,0,Centro
Museo e Istituto Fiorentino di Preistoria,43.772331,11.260963,0,Centro
Museo Ebraico e Sinagoga,43.773289,11.265702,0,Centro
Museo Galileo,43.767716,11.255966,0,Centro
Museo Luigi Bellini,43.770697,11.243918,0,Centro
Museo Marino Marini,43.771775,11.249603,0,Centro
Museo Nazionale del Bargello,43.770381,11.257982,0,Centro
Museo Novecento,43.773145,11.249007,0,Centro
Museo Pietro Annigoni,43.762998,11.255024,0,Centro
Museo Salvatore Ferragamo,43.769978,11.251351,0,Centro
Museo Stefano Bardini,43.765210,11.258265,0,Centro
Museo Stibbert,43.791606,11.255195,-1,Fuori dal centro
Museo Torrini,43.773459,11.256622,0,Centro
Nuovo Museo dell'Opera del Duomo,43.773459,11.256622,0,Centro
Orto Botanico sezione del Museo di Storia Naturale,43.779223,11.262169,0,Centro
Palazzo Medici Riccardi,43.774982,11.25590,0,Centro
Palazzo Vecchio - Quartieri Monumentali,43.769389,11.256136,0,Centro
Percorso Museale di Santa Maria Nuova,43.773240,11.259730,0,Centro
Torre di Palazzo Vecchio,43.769389,11.256136,0,Centro
Torre San Niccolo',43.764483,11.264842,0,Centro
