Nome,Accessibilita' ai disabili,Bookshop,Audioguida,Guida cartacea,Punto di ristoro,Visite guidate,Attivita' e percorsi per bambini,Servizio di prenotazione,Attivita' espositive temporanee,Indice Accessibilit�/Servizi
Casa Vasari,Nessuna,No,No,No,No,Si,No,No,No,1
Collezione Contini Bonacossi,Accessibile,No,No,No,No,Si,No,No,No,2
Corridoio Vasariano,Nessuna,No,No,No,No,No,No,No,No,0
Fondazione Museo del Calcio,Dato non presente,Si,Si,Si,Si,Si,Si,No,No,6
Fondazione Roberto Capucci,Limitata,Si,No,No,No,Si,Si,Si,Si,6
Fondazione Salvatore Romano nel Cenacolo di Santo Spirito,Accessibile,No,No,No,No,No,No,No,No,1
Fondazione Scienza e Tecnica,Accessibile,Si,No,No,No,Si,Si,No,Si,5
Gabinetto Disegni e Stampe degli Uffizi,Accessibile,Si,No,No,No,No,No,No,No,2
Galleria d'Arte Moderna - Palazzo Pitti,Accessibile,Si,No,Si,Si,No,Si,Si,Si,7
Galleria degli Uffizi,Accessibile,Si,Si,Si,Si,No,Si,Si,Si,8
Galleria del Costume - Palazzo Pitti,Accessibile,Si,No,Si,Si,No,Si,Si,Si,7
Galleria dell'Accademia,Accessibile,Si,Si,Si,No,No,Si,Si,Si,7
Galleria Palatina e Appartamenti Reali,Accessibile,Si,Si,Si,Si,No,Si,Si,Si,8
Gucci Museo,Accessibile,Si,No,No,Si,No,Si,No,Si,5
Il Giardino di Archimede.  Un Museo per la Matematica,Dato non presente,Si,No,Si,No,Si,Si,No,Si,5
Mus.e,Dato non presente,Si,No,No,No,Si,Si,Si,No,4
Museo Archeologico Nazionale,Accessibile,Si,No,Si,No,Si,Si,Si,Si,7
Museo degli Argenti,Limitata,Si,No,Si,Si,No,Si,Si,Si,7
Museo degli Innocenti (MUDI),Accessibile,Si,Si,No,Si,Si,Si,No,Si,7
Museo del Bigallo,Accessibile,No,No,Si,No,Si,No,No,No,3
Museo del Ciclismo  Gino Bartali,Limitata,Si,No,No,Si,Si,Si,No,Si,6
Museo del Pegaso,Dato non presente,No,No,No,No,No,No,No,No,0
Museo del Tesoro di San Lorenzo,Accessibile,No,No,No,No,No,No,No,No,1
Museo della Fondazione Horne,Limitata,No,No,No,No,Si,Si,No,No,3
Museo della Misericordia,Accessibile,No,No,No,No,No,No,No,No,1
Museo delle Cappelle Medicee,Accessibile,Si,Si,Si,No,No,Si,Si,Si,7
Museo delle Carrozze,Dato non presente,No,No,No,No,No,No,No,No,0
Museo delle Porcellane - Palazzo Pitti,Nessuna,Si,No,Si,Si,No,Si,Si,Si,6
Museo dell'Officina Profumo - Farmaceutica di Santa Maria Novella,Limitata,No,No,No,No,Si,No,No,No,2
Museo dell'Opera di Santa Croce,Dato non presente,Si,Si,No,No,Si,No,No,No,3
Museo dell'Opificio delle Pietre Dure,Accessibile,Si,No,Si,No,Si,No,Si,Si,6
Museo di Casa Martelli,Accessibile,No,No,No,No,No,No,Si,No,2
Museo di Palazzo Davanzati,Limitata,Si,No,No,No,Si,Si,No,No,4
Museo di San Marco,Accessibile,Si,No,Si,No,No,No,Si,Si,5
Museo di Simbologia Massonica,Limitata,No,No,No,No,No,No,No,No,1
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Antropologia ed Etnologia,Accessibile,Si,No,Si,No,Si,Si,No,Si,6
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Biomedica,Accessibile,No,No,No,No,Si,No,No,No,2
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Botanica,Accessibile,No,No,No,No,Si,No,No,No,2
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Geologia e Paleontologia,Accessibile,Si,No,Si,No,Si,Si,No,Si,6
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Mineralogia e Litologia,Accessibile,Si,No,Si,No,Si,Si,No,No,5
