Nome,Indirizzo,Numero civico,Accessibilita' ai disabili,Tipo di gestione,Bookshop,Audioguida,Guida cartacea,Punto di ristoro,Attivita' espositive temporanee,Visite guidate,Attivita' e percorsi per bambini,Servizio di prenotazione,LatitudineG,LongitudineG
Casa Vasari,Borgo S. Croce,8,Nessuna,Altri musei,No,No,No,No,No,Si,No,No,43.771181,11.268659
Collezione Contini Bonacossi,Piazzale Degli Uffizi,1,Accessibile,Musei statali,No,No,No,No,No,Si,No,No,43.768920,11.255877
Corridoio Vasariano,Loggiato Degli Uffizi,6,Nessuna,Musei statali,No,No,No,No,No,No,No,No,43.768963,11.255890
Fondazione Museo del Calcio,Viale A. Palazzeschi,20,Dato non presente,Altri musei,Si,Si,Si,Si,No,Si,Si,No,43.777801,11.303166
Fondazione Roberto Capucci,Costa San Giorgio,1,Limitata,Altri musei,Si,No,No,No,Si,Si,Si,Si,43.762998,11.255024
Fondazione Salvatore Romano nel Cenacolo di Santo Spirito,Piazza Santo Spirito,29,Accessibile,Musei comunali,No,No,No,No,No,No,No,No,43.766922,11.247755
Fondazione Scienza e Tecnica,Via Giusti,29,Accessibile,Altri musei,Si,No,No,No,Si,Si,Si,No,43.776772,11.264838
Gabinetto Disegni e Stampe degli Uffizi,Via Della Ninna,5,Accessibile,Musei statali,Si,No,No,No,No,No,No,No,43.768978,11.256422
Galleria d'Arte Moderna - Palazzo Pitti,Piazza Pitti,1,Accessibile,Musei statali,Si,No,Si,Si,Si,No,Si,Si,43.765329,11.250021
Galleria degli Uffizi,Piazzale Degli Uffizi,1,Accessibile,Musei statali,Si,Si,Si,Si,Si,No,Si,Si,43.769021,11.255824
Galleria del Costume - Palazzo Pitti,Piazza Pitti,1,Accessibile,Musei statali,Si,No,Si,Si,Si,No,Si,Si,43.765282,11.250064
Galleria dell'Accademia,Via Ricasoli,58-60,Accessibile,Musei statali,Si,Si,Si,No,Si,No,Si,Si,43.775432,11.257617
Galleria Palatina e Appartamenti Reali,Piazza Pitti,SNC,Accessibile,Musei statali,Si,Si,Si,Si,Si,No,Si,Si,43.765344,11.250150
Gucci Museo,Palazzo Mercanzia - Piazza Signoria,10,Accessibile,Altri musei,Si,No,No,Si,Si,No,Si,No,43.769720,11.256646
Il Giardino di Archimede.  Un Museo per la Matematica,Via S. Bartolo A Cintoia,19A,Dato non presente,Dato non presente,Si,No,Si,No,Si,Si,Si,No,43.774572,11.196892
Mus.e,Piazza Signoria,SNC,Dato non presente,Musei comunali,Si,No,No,No,No,Si,Si,Si,43.769389,11.256136
Museo Archeologico Nazionale,Piazza Ss. Annunziata,9/B,Accessibile,Musei statali,Si,No,Si,No,Si,Si,Si,Si,43.776594,11.261544
Museo degli Argenti,Piazza Pitti,1,Limitata,Musei statali,Si,No,Si,Si,Si,No,Si,Si,43.765344,11.249957
Museo degli Innocenti (MUDI),Piazza Ss. Annunziata,12,Accessibile,Altri musei,Si,Si,No,Si,Si,Si,Si,No,43.776454,11.260535
Museo del Bigallo,Piazza S. Giovanni,1,Accessibile,Musei comunali,No,No,Si,No,No,Si,No,No,43.772759,11.255246
Museo del Ciclismo  Gino Bartali,Via Chiantigiana - Ponte A Ema,173,Limitata,Musei comunali,Si,No,No,Si,Si,Si,Si,No,43.729741,11.295769
Museo del Pegaso,Via Camillo Cavour,4,Dato non presente,Altri musei,No,No,No,No,No,No,No,No,43.776373,11.257019
Museo del Tesoro di San Lorenzo,Piazza San Lorenzo,SNC,Accessibile,Altri musei,No,No,No,No,No,No,No,No,43.774781,11.254860
Museo della Fondazione Horne,Via Dei Benci,6,Limitata,Altri musei,No,No,No,No,No,Si,Si,No,43.767436,11.259548
Museo della Misericordia,Piazza Duomo,20,Accessibile,Altri musei,No,No,No,No,No,No,No,No,43.772612,11.255578
Museo delle Cappelle Medicee,Piazza Madonna Degli Aldobrandini,6,Accessibile,Musei statali,Si,Si,Si,No,Si,No,Si,Si,43.774925,11.252765
Museo delle Carrozze,Piazza Pitti,SNC,Dato non presente,Musei statali,No,No,No,No,No,No,No,No,43.765422,11.249957
Museo delle Porcellane - Palazzo Pitti,Piazza Dei Pitti,1,Nessuna,Musei statali,Si,No,Si,Si,Si,No,Si,Si,43.766082,11.250496
Museo dell'Officina Profumo - Farmaceutica di Santa Maria Novella,Via Della Scala,16,Limitata,Altri musei,No,No,No,No,No,Si,No,No,43.775594,11.245505
Museo dell'Opera di Santa Croce,Piazza S. Croce,16,Dato non presente,Altri musei,Si,Si,No,No,No,Si,No,No,43.768568,11.262295
Museo dell'Opificio delle Pietre Dure,Via Alfani,78,Accessibile,Musei statali,Si,No,Si,No,Si,Si,No,Si,43.776113,11.258990
Museo di Casa Martelli,Via Zannetti,8,Accessibile,Musei statali,No,No,No,No,No,No,No,Si,43.773772,11.253620
Museo di Palazzo Davanzati,Via Porta Rossa,13,Limitata,Musei statali,Si,No,No,No,No,Si,Si,No,43.770202,11.252757
Museo di San Marco,Piazza Di San Marco,3,Accessibile,Musei statali,Si,No,Si,No,Si,No,No,Si,43.778232,11.258768
Museo di Simbologia Massonica,Via Dell'Orto,7,Limitata,Altri musei,No,No,No,No,No,No,No,No,43.768682,11.242403
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Antropologia ed Etnologia,Via Del Proconsolo,12,Accessibile,Altri musei,Si,No,Si,No,Si,Si,Si,No,43.771295,11.258025
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Biomedica,Largo Giovanni Alessandro Brambilla,3,Accessibile,Altri musei,No,No,No,No,No,Si,No,No,43.803434,11.245677
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Botanica,Via La Pira,4,Accessibile,Altri musei,No,No,No,No,No,Si,No,No,43.778344,11.260042
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Geologia e Paleontologia,Via La Pira,4,Accessibile,Altri musei,Si,No,Si,No,Si,Si,Si,No,43.778375,11.259891
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Mineralogia e Litologia,Via La Pira,4,Accessibile,Altri musei,Si,No,Si,No,No,Si,Si,No,43.778406,11.259977
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Zoologia La Specola,Via Romana,17,Nessuna,Altri musei,Si,No,Si,No,Si,Si,Si,Si,43.764669,11.247151
Museo Diocesano di S. Stefano al Ponte,Piazza Di Santo Stefano,5,Dato non presente,Dato non presente,No,No,No,No,No,No,No,No,43.768615,11.253849
Museo e Chiostri Monumentali di Santa Maria Novella,Piazza Stazione,4,Dato non presente,Dato non presente,No,No,No,No,No,Si,No,No,43.772953,11.249806
Museo e Istituto Fiorentino di Preistoria,Via S. Egidio,21,Dato non presente,Dato non presente,Si,No,Si,No,Si,Si,Si,No,43.772331,11.260963
Museo Ebraico e Sinagoga,Via Farini,6,Limitata,Altri musei,Si,No,Si,No,Si,Si,Si,Si,43.773289,11.265702
Museo Galileo,Piazza Dei Giudici,1,Accessibile,Altri musei,Si,No,Si,No,Si,Si,Si,No,43.767716,11.255966
Museo Luigi Bellini,Lungarno Soderini,5,Dato non presente,Altri musei,No,No,No,No,No,Si,No,No,43.770697,11.243918
Museo Marino Marini,Piazza S. Pancrazio,SNC,Accessibile,Altri musei,Si,No,Si,No,Si,Si,Si,No,43.771775,11.249603
Museo Nazionale del Bargello,Via Del Proconsolo,4,Accessibile,Musei statali,Si,Si,Si,No,Si,No,Si,Si,43.770381,11.257982
Museo Novecento,Piazza Di Santa Maria Novella,10,Accessibile,Musei comunali,No,No,No,No,Si,Si,Si,Si,43.773145,11.249007
Museo Pietro Annigoni,Costa San Giorgio,1,Limitata,Altri musei,Si,No,No,No,Si,Si,Si,Si,43.762998,11.255024
Museo Salvatore Ferragamo,Piazza Santa Trinita,5R,Accessibile,Altri musei,Si,No,Si,No,Si,No,No,No,43.769978,11.251351
Museo Stefano Bardini,Via De' Renai,37,Accessibile,Musei comunali,Si,No,Si,No,Si,No,Si,No,43.765210,11.258265
Museo Stibbert,Via F. Stibbert,26,Limitata,Altri musei,Si,No,Si,Si,Si,Si,Si,No,43.791606,11.255195
Museo Torrini,Palazzo Gondi - Piazza Duomo,10R,Dato non presente,Dato non presente,No,No,No,No,No,No,No,No,43.773459,11.256622
Nuovo Museo dell'Opera del Duomo,Piazza Duomo,9,Accessibile,Altri musei,Si,No,Si,No,No,No,No,No,43.773459,11.256622
Orto Botanico sezione del Museo di Storia Naturale,Via Micheli,3,Accessibile,Altri musei,No,No,No,No,Si,Si,Si,No,43.779223,11.262169
Palazzo Medici Riccardi,Via Camillo Cavour,3,Accessibile,Altri musei,Si,No,Si,No,Si,No,No,No,43.774982,11.255900
Palazzo Vecchio - Quartieri Monumentali,Piazza Signoria,SNC,Limitata,Musei comunali,Si,Si,Si,No,No,Si,Si,No,43.769389,11.256136
Percorso Museale di Santa Maria Nuova,Piazza Santa Maria Nuova,1,Accessibile,Altri musei,No,No,No,No,No,Si,No,No,43.773240,11.259730
Torre di Palazzo Vecchio,Piazza Signoria,SNC,Nessuna,Musei comunali,No,No,No,No,No,Si,No,No,43.769389,11.256136
Torre San Niccolo',Piazza Giuseppe Poggi,1,Nessuna,Musei comunali,No,No,No,No,No,Si,No,No,43.764483,11.264842
