Nome;Recensioni Google;N. recensioni Google;Recensioni TripAdvisor;N. recensioni TripAdvisor;Recensioni Yelp;N. recensioni Yelp;Media Valutazioni;Media recensioni
Galleria degli Uffizi;4,70;82.549;4,60;39.412;4,40;267;4,57;40.743
Museo di San Marco;4,70;3.020;4,7;2.018;4,6;16;4,67;1.685
Galleria dell'Accademia;4,60;48.595;4,6;32.331;4,4;297;4,53;27.074
Museo delle Cappelle Medicee;4,70;5.871;4,5;2.176;4,3;24;4,50;2.690
Museo Nazionale del Bargello;4,60;8.107;4,6;3.096;4,7;33;4,63;3.745
Galleria del Costume - Palazzo Pitti;4,30;123;3,7;64;3,5;4;3,83;64
Museo degli Argenti;-;-;-;-;3,3;3;3,30;3
Galleria d'Arte Moderna - Palazzo Pitti;4,50;77;3,6;42;-;-;4,05;60
Museo Stibbert;4,80;2.450;4,5;763;4,6;16;4,63;1.076
Museo Galileo;4,50;7.707;4,4;2.392;4,4;52;4,43;3.384
Palazzo Vecchio - Quartieri Monumentali;4,70;23.228;4,6;9.423;4,8;60;4,70;10.904
Museo e Chiostri Monumentali di Santa Maria Novella;4,60;136;4,5;3.866;4,7;41;4,60;1.348
Fondazione Salvatore Romano nel Cenacolo di Santo Spirito;4,00;49;4;23;3,5;2;3,83;25
Nuovo Museo dell'Opera del Duomo;4,60;10.818;4,6;3.485;4,5;33;4,57;4.779
Museo Marino Marini;4,60;438;4,2;102;4,8;5;4,53;182
Museo Luigi Bellini;4,60;30;4;2;-;-;4,30;16
Fondazione Museo del Calcio;4,60;2.003;4,1;77;4,3;3;4,33;694
Museo Salvatore Ferragamo;4,40;1.207;3,9;364;4,5;24;4,27;532
Museo Diocesano di S. Stefano al Ponte;-;-;-;-;-;-;-;-
Fondazione Scienza e Tecnica;3,80;64;4;23;4;1;3,93;29
Museo di Casa Martelli;4,50;261;4,4;95;2,8;4;3,90;120
Museo e Istituto Fiorentino di Preistoria;4,60;97;4,3;4;3;1;3,97;34
Fondazione Roberto Capucci;-;-;4,3;8;3,7;3;4,00;6
Museo degli Innocenti (MUDI);4,60;1.323;4,4;512;4,6;10;4,53;615
Museo del Ciclismo  Gino Bartali;4,50;156;4,8;11;-;-;4,65;84
Museo Ebraico e Sinagoga;4,50;1.951;4,4;780;4,5;14;4,47;915
Il Giardino di Archimede.  Un Museo per la Matematica;4,10;95;4,4;9;-;-;4,25;52
Museo Pietro Annigoni;-;-;4;6;3;1;3,50;4
Museo di Palazzo Davanzati;4,60;1.244;4,5;688;4;10;4,37;647
Museo della Misericordia;4,50;108;4,6;31;5;1;4,70;47
Museo del Bigallo;4,30;108;4;86;3;3;3,77;66
Museo dell'Opificio delle Pietre Dure;4,60;1.056;4,7;368;4,8;8;4,70;477
Museo delle Porcellane - Palazzo Pitti;4,10;238;3,7;103;4;1;3,93;114
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Antropologia ed Etnologia;4,60;294;4,1;53;-;-;4,35;174
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Botanica;-;-;-;-;-;-;-;-
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Geologia e Paleontologia;4,50;793;4,2;135;-;-;4,35;464
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Mineralogia e Litologia;3,80;10;-;-;-;-;3,80;10
Orto Botanico sezione del Museo di Storia Naturale;4,10;1.145;3,3;164;4,3;6;3,90;438
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Zoologia La Specola;4,50;1.236;4,4;408;4,8;11;4,57;552
Museo Archeologico Nazionale;4,40;2.405;4;350;4,4;16;4,27;924
Galleria Palatina e Appartamenti Reali;4,70;477;4,5;1.573;4,5;4;4,57;685
Museo delle Carrozze;4,40;19;-;-;2;1;3,20;10
Museo della Fondazione Horne;4,60;166;4,3;80;4,2;6;4,37;84
Museo dell'Opera di Santa Croce;4,60;10.818;4,5;133;5;2;4,70;3.651
Collezione Contini Bonacossi;-;-;4,5;8;3;1;3,75;5
Corridoio Vasariano;3,80;288;4,4;1.061;4,9;15;4,37;455
Gabinetto Disegni e Stampe degli Uffizi;-;-;-;-;5;1;5,00;1
Museo del Tesoro di San Lorenzo;4,60;148;4,1;1.136;4,3;23;4,33;436
Mus.e;-;-;-;-;-;-;-;-
Museo Stefano Bardini;4,60;463;4,5;167;4,2;5;4,43;212
Museo dell'Officina Profumo - Farmaceutica di Santa Maria Novella;4,60;2.706;4,5;1.579;4,7;90;4,60;1.458
Museo Torrini;-;-;-;-;-;-;-;-
Torre San Niccolo';4,60;913;4;123;4,6;14;4,40;350
Casa Vasari;4,60;21;4,6;18;4,3;3;4,50;14
Gucci Museo;4,20;1.657;3,9;730;4,1;57;4,07;815
Palazzo Medici Riccardi;4,50;9.133;4,1;1.053;3,7;11;4,10;3.399
Museo di Simbologia Massonica;4,60;88;4,6;20;-;-;4,60;54
Torre di Palazzo Vecchio;4,50;422;4,4;140;4,8;8;4,57;190
Museo Novecento;4,10;1.509;3,5;208;3,8;13;3,80;577
Museo del Pegaso;4,60;138;4;1;-;-;4,30;70
Percorso Museale di Santa Maria Nuova;3,60;411;4;12;4,2;14;3,93;146
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Biomedica;-;-;-;-;-;-;-;-
