Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Against the Storm;91;20;80;Eremite Games;Management;08/12/2023
Age of Empires Def. Ed.;69;51;68;Forgotten Empires LLC;Command RTS;20/02/2018
Age of Empires II Def. Ed.;84;34;88;Forgotten Empires LLC;Command RTS;14/11/2019
Age of Empires IV: Anniversary Ed.;83;5;87;Relic Entertainment;Command RTS;22/08/2023
Age of Mythology: Retold;83;58;79;World's Edge;Real-Time Strategy;04/09/2024
Alice: Madness Returns;70;67;81;Spicy Horse;3D Platformer;14/06/2011
Aliens: Dark Descent;75;68;77;Tindalos Interactive;Real-Time Tactics;20/06/2023
All You Need Is Help;;;;Q-Games;Action Puzzle;26/09/2024
Among Us;85;9;69;Innersloth;Survival;16/11/2018
Another Crab's Treasure;78;33;76;Aggro Crab;Action Adventure;25/04/2024
Anthem;59;89;40;BioWare;Action RPG;15/02/2019
Anuchard;70;5;46;stellarNull;Action RPG;21/04/2022
Ara: History Untold;74;55;64;Oxide Games;4X Strategy;24/09/2024
Arcade Paradise;73;13;67;Nosebleed Interactive;Virtual Career;11/08/2022
Ark: Survival Ascended;;;51;Studio Wildcard;Sandbox;30/11/2023
ARK: Ultimate Survivor Ed.;66;5;77;Studio Wildcard;Sandbox;01/11/2022
Army of Two;72;76;68;EA Montreal;Third Person Shooter;06/03/2008
Arx Fatalis;71;31;70;Arkane Studios;Western RPG;23/12/2003
As Dusk Falls;77;79;78;INTERIOR/NIGHT;Adventure;19/07/2022
Ashen;78;37;70;A44;Open-World Action;07/12/2018
Assassin's Creed Odyssey;83;95;68;Ubisoft Quebec;Open-World Action;02/10/2018
Assassin's Creed Origins;81;70;73;Ubisoft Montreal;Open-World Action;27/10/2017
Assassin's Creed Valhalla;80;54;60;Ubisoft Montreal;Open-World Action;10/11/2020
Astroneer;71;18;72;System Era Softworks;Sandbox;06/02/2019
Atlas Fallen;64;58;61;Deck 13;Action RPG;10/08/2023
Banjo Kazooie: N n B;79;71;60;Rare Ltd.;3D Platformer;11/11/2008
Banjo-Kazooie;92;19;91;Rare Ltd.;3D Platformer;29/06/1998
Banjo-Tooie;73;19;80;4J Studios;3D Platformer;29/04/2009
The Bard's Tale ARPG: Remastered and Resnarkled;;;71;InXile Entertainment;Western RPG;17/08/2017
The Bard's Tale IV: Director's Cut;84;5;71;InXile Entertainment;Western RPG;27/08/2019
The Bard's Tale Trilogy;;;;Interplay;Compilation;
Batman: Arkham Knight;87;90;81;Rocksteady Studios;Open-World Action;23/06/2015
Battlefield 3;89;61;76;EA DICE;Tactical FPS;25/10/2011
Battlefield 4;81;52;64;EA DICE;FPS;19/10/2013
Battlefield 1 Revolution;;;67;EA DICE;Tactical FPS;21/08/2017
Battlefield 2042;68;84;23;EA DICE;Tactical FPS;19/11/2021
Battlefield Hardline;73;46;53;Visceral Games;Tactical FPS;17/03/2015
Battlefield V;81;57;34;EA DICE;Tactical FPS;20/11/2018
Battletech;78;66;70;Harebrained Schemes LLC;Turn-Based Tactics;24/04/2018
Battletoads;72;69;65;Dlala Studios;Action;20/08/2020
Bejeweled 2;74;10;62;PopCap;Matching Puzzle;29/01/2009
Bejeweled 3;82;27;80;PopCap;Matching Puzzle;07/12/2010
Ben 10: Power Trip;;;35;PHL Collective;3D Platformer;09/10/2020
The Big Con;77;14;61;Mighty Yell;Adventure;31/08/2021
Black;77;65;82;Criterion Games;FPS;28/02/2006
Bleeding Edge;66;47;63;Ninja Theory;Third Person Shooter;24/03/2020
BLiNX: The Time Sweeper;71;36;77;Artoon;3D Platformer;07/10/2002
Bloodstained: Ritual of the Night;83;55;83;ArtPlay;Metroidvania;18/06/2019
Bluey: The Videogame;56;6;51;Artax Games;Action Adventure;17/11/2023
Botany Manor;82;20;77;Balloon Studios;First-Person Adventure;09/04/2024
Broforce;83;32;80;Free Lives;2D Platformer;15/10/2015
Broken Age;81;21;71;Double Fine Productions;Point-and-Click;28/04/2015
Brotato;76;4;78;Blobfish;Top-Down Shoot-'Em-Up;23/06/2023
Brothers: A Tale of Two Sons;79;30;76;Avantgarden Games;Linear Action Adventure;28/02/2024
Brutal Legend;82;88;77;Double Fine Productions;Open-World Action;13/10/2009
Burnout Paradise Remastered;82;41;71;STELLAR ENTERTAINMENT SOFTWARE LTD;Auto Racing;16/03/2018
Call of Duty: Black Ops 6;83;64;65;Treyarch;Tactical FPS;25/10/2024
Call of Duty: Modern Warfare III;56;71;22;Sledgehammer Games;Tactical FPS;10/11/2023
Call of Duty: Warzone;79;9;40;Infinity Ward;Tactical FPS;14/11/2022
Call of the Wild: The Angler;63;7;37;Expansive Worlds;Fishing;31/08/2022
The Callisto Protocol;69;94;68;Striking Distance Studios;Survival;02/12/2022
Car Mechanic Simulator 2021;70;5;70;Red Dot Games;Virtual Career;11/08/2021
Carrion;75;64;76;Phobia Game Studio;Metroidvania;23/07/2020
The Case of the Golden Idol;84;21;79;Color Gray Games;Point-and-Click;13/10/2022
Cassette Beasts;83;19;84;Bytten Studio;Trainer RPG;26/04/2023
The Cave;70;44;77;Double Fine Productions;2D Platformer;23/01/2013
Celeste;92;37;87;Maddy Makes Games;2D Platformer;25/01/2018
Chants of Sennaar;86;15;86;Rundisc;Adventure;05/09/2023
Chivalry 2;82;40;55;Torn Banner Studios;3D Beat-'Em-Up;08/06/2021
Cities: Skylines;85;60;87;Colossal Order;Management;10/03/2015
Cities: Skylines II;74;65;41;Colossal Order;Management;24/10/2023
Citizen Sleeper;82;23;73;Jump Over The Age;Western RPG;05/05/2022
Clone Drone in the Danger Zone;82;5;77;Doborog Games;Action Adventure;16/03/2017
Cocoon;88;43;80;Geometric Interactive;Action Adventure;29/09/2023
Command & Conquer Remastered Collection;82;62;87;Petroglyph;Compilation;05/06/2020
Contrast;59;39;64;Compulsion Games;Action Puzzle;15/11/2013
Control Ultimate Ed.;85;31;78;Remedy Entertainment;Action Adventure;02/02/2021
Cooking Simulator;64;4;58;Big Cheese Studio;Virtual Career;06/06/2019
Core Keeper;85;11;78;Pugstorm;Sandbox;27/08/2024
Costume Quest;77;39;79;Double Fine Productions;Action RPG;19/10/2010
Costume Quest 2;68;27;73;Double Fine Productions;JRPG;07/10/2014
Crackdown 3;60;92;43;Sumo Digital - Elbow Rocket;Open-World Action;15/02/2019
Crash Bandicoot N. Sane Trilogy;80;87;84;Vicarious Visions;Compilation;30/06/2017
Crash Team Racing Nitro-Fueled;83;76;71;Beenox;Auto Racing;21/06/2019
Creatures of Ava;72;19;68;Inverge Studios;Open-World Action;07/08/2024
Cricket 24;57;7;53;Big Ant Studios;Cricket;05/10/2023
